;;;;CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
202401;Enero de 2024;1;Andalucía;14;Córdoba;14036;Hornachuelos;484;131;200;<5;50;101;<5;374;32;57;21
202401;Enero de 2024;1;Andalucía;14;Córdoba;14037;Iznájar;422;225;116;0;49;32;0;383;8;<5;30
202401;Enero de 2024;1;Andalucía;14;Córdoba;14038;Lucena;2110;815;624;21;289;349;12;1317;458;35;300
202401;Enero de 2024;1;Andalucía;14;Córdoba;14039;Luque;212;80;58;0;44;30;0;166;13;<5;30
202401;Enero de 2024;1;Andalucía;14;Córdoba;14040;Montalbán de Córdoba;634;80;330;<5;40;179;<5;590;6;9;29
202401;Enero de 2024;1;Andalucía;14;Córdoba;14041;Montemayor;115;23;36;<5;10;45;0;83;8;8;16
202401;Enero de 2024;1;Andalucía;14;Córdoba;14042;Montilla;865;159;371;14;101;215;5;570;95;36;164
202401;Enero de 2024;1;Andalucía;14;Córdoba;14043;Montoro;999;333;296;11;161;191;7;889;18;17;75
202401;Enero de 2024;1;Andalucía;14;Córdoba;14044;Monturque;80;33;10;0;25;12;0;67;5;0;8
202401;Enero de 2024;1;Andalucía;14;Córdoba;14045;Moriles;180;14;80;<5;15;69;<5;157;<5;15;5
202401;Enero de 2024;1;Andalucía;14;Córdoba;14046;Nueva Carteya;573;186;136;0;125;126;0;532;<5;10;28
202401;Enero de 2024;1;Andalucía;14;Córdoba;14047;Obejo;26;<5;9;<5;0;11;<5;17;0;<5;7
202401;Enero de 2024;1;Andalucía;14;Córdoba;14048;Palenciana;61;6;27;0;<5;27;0;53;<5;0;6
202401;Enero de 2024;1;Andalucía;14;Córdoba;14049;Palma del Río;923;360;228;14;137;169;15;687;8;23;205
